dataset,n_items,capacity,optimum,experiment,series,runs,best,mean_best,std_best,best_to_optimum_pct,mean_to_optimum_pct,runs_reaching_optimum
f4_l-d_kp_4_11,4,11.0,23.0,selection,roulette,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,selection,rank,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,selection,tournament,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,crossover,one-point,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,crossover,two-point,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,elitism,elitism = 0,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,elitism,elitism = 1,10,23.0,23.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,mutation_rate,p_m = 0.001,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,mutation_rate,p_m = 0.005,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,mutation_rate,p_m = 0.01,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,mutation_rate,p_m = 0.05,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,mutation_rate,p_m = 0.1,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,crossover_rate,p_c = 0.5,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,crossover_rate,p_c = 0.7,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,crossover_rate,p_c = 0.9,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,crossover_rate,p_c = 1,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,selection,roulette,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,selection,rank,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,selection,tournament,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,crossover,one-point,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,crossover,two-point,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,elitism,elitism = 0,10,130.0,130.0,0.0,100.0,100.0,10
f9_l-d_kp_5_80,5,80.0,130.0,elitism,elitism = 1,10,130.0,130.0,0.0,100.0,100.0,10
f7_l-d_kp_7_50,7,50.0,107.0,mutation_rate,p_m = 0.001,10,107.0,106.8,0.6,100.0,99.81,9
f7_l-d_kp_7_50,7,50.0,107.0,mutation_rate,p_m = 0.005,10,107.0,107.0,0.0,100.0,100.0,10
f7_l-d_kp_7_50,7,50.0,107.0,mutation_rate,p_m = 0.01,10,107.0,106.8,0.6,100.0,99.81,9
